No.;Time;Comment;Scramble;Date;P.1
1;33.00;;U R D' F' B D2 F R' F2 R2 F B2 R2 F D2 L2 F U2 F U2;2019-01-12 07:38:14;33.00
2;22.28;;B2 U B2 D2 L2 F' L2 F' L2 B2 R2 F L2 F L U2 L F L F' D';2019-01-12 07:42:54;22.28
3;18.08;;D2 R2 B' L2 R2 B' D2 F2 D2 F' L2 U F2 L' F D L' U' L' R2 U';2019-01-12 07:52:59;18.08
4;22.46;;F2 L2 D2 F2 U2 R D2 F2 R F2 L F D B F L B L2 D';2019-01-12 07:57:26;22.46
5;22.36;;L2 F D L2 B2 L2 B2 U B2 D2 R2 F2 U B' L' D' U' L F2 R;2019-01-12 07:58:16;22.36
6;22.48;;U2 F2 D' F2 D' F' D2 B' F2 L2 U2 B2 L' B2 L' D2 L D2 L2 B;2019-01-12 07:59:13;22.48
7;24.43;;L B2 U2 R2 D' L2 D B2 L2 U2 R2 U B U' F' U2 L' R2 D' F' L;2019-01-12 08:00:13;24.43
8;15.56;;U' F2 R U F U2 D2 R L2 D F2 R2 U2 R2 D' B2 U' F2 R2 B2 F;2019-01-13 22:02:59;15.56
9;14.75;;R U' F2 L' F' L' B D2 R2 L B2 L' B2 U2 L' D2 L' U2 R' U' B2;2019-01-13 22:06:19;14.75
10;21.83;;D F L' U' R U' B D L F' R2 F U2 B' L2 B L2 U2 F2 L2;2019-01-13 22:07:02;21.83
11;23.39;;R2 L2 D' L2 D' L2 B R2 D F2 D' B2 U' F2 R2 D' F2 D2 L U;2019-01-13 22:07:42;23.39
12;31.50;;B' R' L2 D2 U' L2 U' B2 F2 U' L2 F2 L U B' U' R' B' D' L2;2019-01-13 22:08:28;31.50
13;25.65;;L' D2 R F U2 B2 U' L D' L2 B2 R2 F2 U2 R2 U2 F' R2 F U2 B;2019-01-13 22:09:29;25.65
14;25.92;;B2 R2 D' U2 F2 D' U2 R2 F2 R2 B U R' D2 B' R D F L' D';2019-01-13 22:10:12;25.92
