cubetype,solvetype,time,date,steps,plustwo,blind,scrambleType,scramble,comment
3x3x3,"大歐派蘿莉",23.19,Jan 15 2019 - 00:00:55,,n,n,,"R2 D R2 F2 U' L2 U' L2 R' F L2 B2 L D R B' D U' R2 D2 ",
3x3x3,"大歐派蘿莉",30.04,Jan 14 2019 - 23:59:59,,n,n,,"F2 D' L2 R2 D' R2 D' U' B2 U2 L' B U2 F L B' D L R U' L ",
3x3x3,"大歐派蘿莉",22.74,Jan 14 2019 - 23:59:06,,n,n,,"R2 U2 F2 D R2 D' R2 U' R2 U2 B' L2 D L D2 F' U' L F U2 R' ",
3x3x3,"大歐派蘿莉",24.96,Jan 14 2019 - 23:58:22,,n,n,,"F2 D B2 L2 F2 R2 D B2 D R2 D L B L D B2 D' R2 U' L' ",
3x3x3,"大歐派蘿莉",23.99,Jan 14 2019 - 23:57:36,,n,n,,"U' R2 B2 U L2 D2 L2 F2 U' F2 L2 R' F' U2 R' F' D' B D L2 U2 ",
3x3x3,"大歐派蘿莉",24.23,Jan 14 2019 - 23:56:47,,n,n,,"R2 U B2 L2 U' R2 F2 R2 D U2 B L2 R B' D U' L' B2 F L U2 ",
3x3x3,"大歐派蘿莉",24.17,Jan 14 2019 - 23:56:06,,n,n,,"U B2 F2 R2 D F2 L2 U L2 F2 L U B D U B' R' B' L F D' ",
3x3x3,"大歐派蘿莉",26.75,Jan 14 2019 - 23:55:18,,n,n,,"D U' R2 D2 L2 B2 U B U2 F U2 L' R U B' L2 U ",
3x3x3,"大歐派蘿莉",21.80,Jan 14 2019 - 23:54:36,,n,n,,"L2 F2 R2 U2 F2 D2 R2 U B2 L2 D L' D B' R F L' R' B' F' R' ",
3x3x3,"大歐派蘿莉",23.68,Jan 14 2019 - 23:53:56,,n,n,,"D2 L2 D R2 D' F2 U F2 U F' L' B' D' L R U2 F L D2 L' D2 ",
3x3x3,"大歐派蘿莉",23.46,Jan 14 2019 - 23:53:13,,n,n,,"L2 D' L2 U' B2 D' B2 F2 D2 R2 F R2 U' L' U R2 D F' U' B R ",
3x3x3,"大歐派蘿莉",26.73,Jan 14 2019 - 23:52:31,,n,n,,"B2 F2 R2 D F2 D2 U' R2 U F2 L' U2 B R2 D B2 D B' F D R ",
